poet,century,book_title,poem_title,poem,path
رودکی,3,قصاید و قطعات,شمارهٔ ۱,گر من این دوستی تو ببرم تا لب گور    بزنم نعره ولیکن ز تو بینم هنرا    اثر میر نخواهم که بماند به جهان    میر خواهم که بماند به جهان در اثرا    هر که را رفت، همی باید رفته شمری    هر که را مرد، همی باید مرده شمرا,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۲,به حق نالم ز هجر دوست زارا    سحرگاهان چو بر گلبن هزارا    قضا، گر داد من نستاند از تو    ز سوز دل بسوزانم قضا را    چو عارض برفروزی می‌بسوزد    چو من پروانه بر گردت هزارا    نگنجم در لحد، گر زان که لختی    نشینی بر مزارم سوکوارا    جهان این است و چونین بود تا بود    و همچونین بود اینند بارا    به یک گردش به شاهنشاهی آرد    دهد دیهیم و تاج و گوشوارا    توشان زیر زمین فرسوده کردی    زمین داده مر ایشان را زغارا    از آن جان تو لختی خون فسرده    سپرده زیر پای اندر سپارا,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۳,به نام نیک تو، خواجه، فریفته نشوم    که نام نیک تو دامست و زرق‌مر نان را    کسی که دام کند نام نیک از پی نان    یقین بدان تو که دامست نانش مر جان را,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۴,دلا، تا کی همی جویی منی را؟    چه داری دوست هرزه دشمنی را؟    چرا جویی وفا از بی وفایی؟    چه کوبی بیهده سرد آهنی را؟    ایا سوسن بناگوشی ، که داری    به رشک خویشتن هر سوسنی را    یکی زین برزن نا راه برشو    که بر آتش نشانی برزنی را    دل من ارزنی، عشق تو کوهی    چه سایی زیر کوهی ارزنی را؟    ببخشا، ای پسر، بر من ببخشا    مکش در عشق خیره چون منی را    بیا، اینک نگه کن رودکی را    اگر بی جان روان خواهی تنی را,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۵,گرفت خواهم زلفین عنبرین ترا    به بوسه نقش‌کنم برگ یاسمین ترا    هر آن زمین که تو یک ره برو قدم بنهی    هزار سجده برم خاک آن زمین ترا    هزار بوسه دهم بر سخای نامهٔ تو    اگر ببینم بر مهر او نگین ترا    به تیغ هندی گو: دست من جدا بکنند    اگر بگیرم روزی من آستین ترا    اگر چه خامش مردم که شعر باید گفت    زبان من به روی گردد آفرین ترا,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۶,پوپک دیدم به حوالی سرخس    بانگک بر برده به ابر اندرا    چادرکی دیدم رنگین برو    رنگ بسی گونه بر آن چادرا    ای پرغونه و باژگونه جهان    مانده من از تو به شگفت اندرا,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۷,جهانا! چه بینی تو از بچگان    که گه مادری، گاه مادندرا؟    نه پاذیر باید تو را نه ستون    نه دیوار خشت و نه زآهن درا,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۸,کس فرستاد به سر اندر عیار مرا    که: مکن یاد به شعر اندر بسیار مرا    وین فژه پیر ز بهر تو مرا خوار گرفت    برهاناد ازو ایزد جبار مرا,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۹,با عاشقان نشین و همه عاشقی گزین    با هر که نیست عاشق کم کن قرینیا    باشد گه وصال ببینند روی دوست    تو نیز در میانهٔ ایشان ببینیا    تا اندران میانه، که بینند روی او    تو نیز در میانهٔ ایشان نشینیا,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۱۰,آمد بهار خرم با رنگ و بوی طیب    با صد هزار نزهت و آرایش عجیب    شاید که مرد پیر بدین گه شود جوان    گیتی بدیل یافت شباب از پی مشیب    چرخ بزرگوار یکی لشکری بکرد    لشکرش ابر تیره و باد صبا نقیب    نفاط برق روشن و تندرش طبل زن    دیدم هزار خیل و ندیدم چنین مهیب    آن ابر بین، که گرید چون مرد سوکوار    و آن رعد بین، که نالد چون عاشق کئیب    خورشید را ز ابر دمد روی گاه‌گاه    چو نان حصاریی، که گذر دارد از رقیب    یک چند روزگار، جهان دردمند بود    به شد، که یافت بوی سمن باد را طبیب    باران مشکبوی ببارید نو به نو    وز برگ بر کشید یکی حلهٔ قشیب    کنجی که برف پیش همی داشت گل گرفت    هر جو یکی که خشک همی بود شد رطیب    تندر میان دشت همی باد بردمد    برق از میان ابر همی برکشد قضیب    لاله میان کشت بخندد همی ز دور    چون پنجهٔ عروس به حنّا شده خضیب    بلبل همی بخواند در شاخسار بید    سار از درخت سرو مرو را شده مجیب    صلصل به سر و بن بر، با نغمهٔ کهن    بلبل به شاخ گل بر، با لحنک غریب    اکنون خورید باده و اکنون زیید شاد    کاکنون برد نصیب حبیب از بر حبیب    ساقی گزین و باده و می خور به بانگ زیر    کز کشت سار نالد و از باغ عندلیب    هر چند نوبهار جهان است به چشم خوب    دیدار خواجه خوب تر، آن مهتر حسیب    شیب تو با فراز وفراز تو با نشیب    فرزند آدمی به تو اندر به شیب و تیب    دیدی تو ریژ و کام بدو اندرون بسی    بارید کان مطرب بودی به فر و زیب,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۱۱,گل صدبرگ و مشک و عنبر وسیب    یاسمین سپید و مورد بزیب    این همه یکسره تمام شدست    نزد تو، ای بت ملوک فریب    شب عاشقت لیله‌القدرست    چون تو بیرون کنی رخ از جلبیب    به حجاب اندرون شود خورشید    گر تو برداری از دو لاله حجیب    وآن زنخدان بسیب ماند راست    اگر از مشک خال دارد سیب,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۱۲,با خردومند بی‌وفا بود این بخت    خویشتن خویش را بکوش تو یک لخت    خود خور و خود ده، کجا نبود پشیمان    هر که بداد وبخورد از آن چه که بلفخت,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۱۳,رودکی چنگ بر گرفت و نواخت    باده انداز، کو سرود انداخت    زان عقیقین میی، که هر که بدید    از عقیق گداخته نشناخت    هر دو یک گوهرند، لیک به طبع    این بیفسرد و آن دگر بگداخت    نابسوده دو دست رنگین کرد    ناچشیده به تارک اندر تاخت,poems/رودکی.csv
رودکی,3,قصاید و قطعات,شمارهٔ ۱۴,آن صحن چمن، که از دم دی    گفتی: دم گرگ یا پلنگ است    اکنون ز بهار مانوی طبع    پرنقش و نگار همچو ژنگ است    بر کشتی عمر تکیه کم کن    کاین نیل نشیمن نهنگ است,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۱,در رهگذر باد چراغی که تراست    ترسم که: بمیرد از فراغی که تراست    بوی جگر سوخته عالم بگرفت    گر نشنیدی، زهی دماغی که تراست!,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۲,با آن که دلم از غم هجرت خونست    شادی به غم توام ز غم افزونست    اندیشه کنم هر شب و گویم: یا رب    هجرانش چنینست، وصالش چونست؟,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۳,جایی که گذرگاه دل محزونست    آن جا دو هزار نیزه بالا خونست    لیلی صفتان ز حال ما بی خبرند    مجنون داند که حال مجنون چونست؟,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۴,دل خسته و بستهٔ مسلسل موییست    خون گشته و کشتهٔ بت هندوییست    سودی ندهد نصیحتت، ای واعظ    ای خانه خراب طرفه یک پهلوییست,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۵,تقدیر، که بر کشتنت آزرم نداشت    بر حسن و جوانیت دل نرم نداشت    اندر عجبم زجان ستان کز چو تویی    جان بستد و از جمال تو شرم نداشت,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۶,چشمم ز غمت، به هر عقیقی که بسفت    بر چهره هزار گل ز رازم بشکفت    رازی، که دلم ز جان همی داشت نهفت    اشکم به زبان حال با خلق بگفت,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۷,...    ...    بنلاد تو شد تربیت خواجه و لیک    بنلاد تو سست همچو بنیاد تو باد,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۸,بی روی تو خورشید جهان‌سوز مباد    هم بی‌تو چراغ عالم افروز مباد    با وصل تو کس چو من بد آموز مباد    روزی که ترا نبینم آن روز مباد,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۹,زلفش بکشی شب دراز اندازد    ور بگشایی چنگل باز اندازد    ور پیچ و خمش ز یک دگر بگشایند    دامن دامن مشک طراز اندازد,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۱۰,چون روز علم زند به نامت ماند    چون یک شبه شد ماه به جامت ماند    تقدیر به عزم تیز گامت ماند    روزی به عطا دادن عامت ماند,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۱۱,جز حادثه هرگز طلبم کس نکند    یک پرسش گرم جز تبم کس نکند    ورجان به لب آیدم، به جز مردم چشم    یک قطرهٔ آب بر لبم کس نکند,poems/رودکی.csv
رودکی,3,رباعیات,رباعی شمارهٔ ۱۲,...    ...    بفنود تنم بر درم و آب و زمین    دل بر خرد و علم به دانش بفنود,poems/رودکی.csv
