poet,century,book_title,poem_title,poem,path
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۱,باز آ باز آ هر آنچه هستی باز آ    گر کافر و گبر و بت‌پرستی باز آ    این درگه ما درگه نومیدی نیست    صد بار اگر توبه شکستی باز آ,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۲,یا رب به محمد و علی و زهرا    یا رب به حسین و حسن و آل‌عبا    کز لطف برآر حاجتم در دو سرا    بی‌منت خلق یا علی الاعلا,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۳,وصل تو کجا و من مهجور کجا    دردانه کجا حوصله مور کجا    هر چند ز سوختن ندارم باکی    پروانه کجا و آتش طور کجا,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۴,منصور حلاج آن نهنگ دریا    کز پنبهٔ تن دانهٔ جان کرد جدا    روزیکه انا الحق به زبان می‌آورد    منصور کجا بود؟ خدا بود خدا,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۵,وا فریادا ز عشق وا فریادا    کارم بیکی طرفه نگار افتادا    گر داد من شکسته دادا دادا    ور نه من و عشق هر چه بادا بادا,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۶,ای شیر سرافراز زبردست خدا    ای تیر شهاب ثاقب شست خدا    آزادم کن ز دست این بی‌دستان    دست من و دامن تو ای دست خدا,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۷,گفتم صنما لاله رخا دلدارا    در خواب نمای چهره باری یارا    گفتا که روی به خواب بی ما وانگه    خواهی که دگر به خواب بینی ما را,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۸,گفتی که منم ماه نشابور سرا    ای ماه نشابور نشابور ترا    آن تو ترا و آن ما نیز ترا    با ما بنگویی که خصومت ز چرا,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۹,هرگاه که بینی دو سه سرگردانرا    عیب ره مردان نتوان کرد آنرا    تقلید دو سه مقلد بی‌معنی    بدنام کند ره جوانمردان را,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۱۰,یا رب مکن از لطف پریشان ما را    هر چند که هست جرم و عصیان ما را    ذات تو غنی بوده و ما محتاجیم    محتاج بغیر خود مگردان ما را,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۱۱,گر بر در دیر می‌نشانی ما را    گر در ره کعبه میدوانی ما را    اینها همگی لازمهٔ هستی ماست    خوش آنکه ز خویش وارهانی ما را,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۱۲,تا چند کشم غصهٔ هر ناکس را    وز خست خود خاک شوم هر کس را    کارم به دعا چو برنمی‌آید راست    دادم سه طلاق این فلک اطلس را,poems/ابوسعید ابوالخیر.csv
ابوسعید ابوالخیر,5,رباعیات,رباعی شمارهٔ ۱۳,پرسیدم ازو واسطهٔ هجران را    گفتا سببی هست بگویم آن را    من چشم توام اگر نبینی چه عجب    من جان توام کسی نبیند جان را,poems/ابوسعید ابوالخیر.csv
